Movie,Director,Release Date
We Live in Public,Ondi Timoner,2009-01-19T00:00:00Z
A Gang Story,Olivier Marchal,2011-11-10T00:00:00Z
The Intouchables,Olivier Nakache,2011-01-01T00:00:00Z
The Intouchables,Éric Toledano,2011-01-01T00:00:00Z
The Intouchables,Olivier Nakache,2011-09-23T00:00:00Z
The Intouchables,Éric Toledano,2011-09-23T00:00:00Z
The Intouchables,Olivier Nakache,2012-01-05T00:00:00Z
The Intouchables,Éric Toledano,2012-01-05T00:00:00Z
The Intouchables,Olivier Nakache,2012-05-25T00:00:00Z
The Intouchables,Éric Toledano,2012-05-25T00:00:00Z
Swept Away,Lina Wertmüller,1974-01-01T00:00:00Z
Kick-Ass,Matthew Vaughn,2010-03-12T00:00:00Z
Kick-Ass,Matthew Vaughn,2010-04-22T00:00:00Z
Kick-Ass,Matthew Vaughn,2010-06-17T00:00:00Z
12 Angry Men,Sidney Lumet,1957-04-10T00:00:00Z
Gone with the Wind,George Cukor,1939-12-15T00:00:00Z
Gone with the Wind,Victor Fleming,1939-12-15T00:00:00Z
Gone with the Wind,Sam Wood,1939-12-15T00:00:00Z
The Man Between,Carol Reed,1953-12-10T00:00:00Z
Rough Night in Jericho,Arnold Laven,1967-01-01T00:00:00Z
Alien Raiders,Ben Rock,2008-01-01T00:00:00Z
A Fantastic Fear of Everything,Crispian Mills,2012-01-01T00:00:00Z
A Fantastic Fear of Everything,Chris Hopewell,2012-01-01T00:00:00Z
The Manchurian Candidate,Jonathan Demme,2004-01-01T00:00:00Z
The Manchurian Candidate,Jonathan Demme,2004-11-11T00:00:00Z
Nalai Manithan,Velu Prabhakaran,1989-01-01T00:00:00Z
Nalai Manithan,Velu Prabhakaran,1989-01-14T00:00:00Z
Adhisaya Manithan,Velu Prabhakaran,1990-01-01T00:00:00Z
Cleopatra,Joseph L. Mankiewicz,1963-06-12T00:00:00Z
Wanted,Timur Bekmambetov,2008-06-12T00:00:00Z
Wanted,Timur Bekmambetov,2008-06-27T00:00:00Z
Wanted,Timur Bekmambetov,2008-09-04T00:00:00Z
Delirious,Tom DiCillo,2006-09-26T00:00:00Z
Mirageman,Ernesto Díaz Espinoza,2007-01-01T00:00:00Z
Matchstick Men,Ridley Scott,2003-01-01T00:00:00Z
Matchstick Men,Ridley Scott,2003-09-18T00:00:00Z
Percy,Ralph Thomas,1971-01-01T00:00:00Z
Bloodbath at the House of Death,Ray Cameron,1984-01-01T00:00:00Z
The Oranges,Julian Farino,2011-01-01T00:00:00Z
The Oranges,Julian Farino,2012-12-13T00:00:00Z
Percy's Progress,Ralph Thomas,1974-01-01T00:00:00Z
Skyfall,Sam Mendes,2012-10-23T00:00:00Z
Four Lions,Chris Morris,2010-01-01T00:00:00Z
Four Lions,Chris Morris,2011-04-21T00:00:00Z
V for Vendetta,James McTeigue,2005-12-11T00:00:00Z
V for Vendetta,James McTeigue,2006-03-16T00:00:00Z
Star Wars: Episode VII – The Force Awakens,J. J. Abrams,2015-12-16T00:00:00Z
Star Wars: Episode VII – The Force Awakens,J. J. Abrams,2015-12-17T00:00:00Z
Star Wars: Episode VII – The Force Awakens,J. J. Abrams,2015-12-18T00:00:00Z
Star Wars: Episode VII – The Force Awakens,J. J. Abrams,2016-01-09T00:00:00Z
Pirates II: Stagnetti's Revenge,Joone,2008-09-27T00:00:00Z
Gotcha!,Jeff Kanew,1985-01-01T00:00:00Z
Gotcha!,Jeff Kanew,1985-07-19T00:00:00Z
Special Effects: Anything Can Happen,Ben Burtt,1996-01-01T00:00:00Z
101 Dalmatians,Stephen Herek,1996-11-27T00:00:00Z
101 Dalmatians,Stephen Herek,1997-02-07T00:00:00Z
101 Dalmatians,Stephen Herek,1997-02-28T00:00:00Z
101 Dalmatians,Stephen Herek,1997-03-06T00:00:00Z
¿¡Revolución!?,Charles Gervais,2006-01-01T00:00:00Z
The Last Airbender,M. Night Shyamalan,2010-01-01T00:00:00Z
The Last Airbender,M. Night Shyamalan,2010-07-29T00:00:00Z
The Last Airbender,M. Night Shyamalan,2010-08-19T00:00:00Z
Eraserhead,David Lynch,1977-01-01T00:00:00Z
Eraserhead,David Lynch,1978-02-03T00:00:00Z
Eraserhead,David Lynch,1978-12-31T00:00:00Z
Eraserhead,David Lynch,1979-09-07T00:00:00Z
Eraserhead,David Lynch,1980-01-01T00:00:00Z
E.T. the Extra-Terrestrial,Steven Spielberg,1982-06-11T00:00:00Z
Swing Vote,Joshua Michael Stern,2008-01-01T00:00:00Z
8½,Federico Fellini,1963-02-14T00:00:00Z
8½,Federico Fellini,1963-02-15T00:00:00Z
8½,Federico Fellini,1963-02-16T00:00:00Z
8½,Federico Fellini,1963-05-23T00:00:00Z
8½,Federico Fellini,1963-05-29T00:00:00Z
8½,Federico Fellini,1963-06-24T00:00:00Z
Hackers,Iain Softley,1995-01-01T00:00:00Z
Hackers,Iain Softley,1996-06-13T00:00:00Z
The Day After Tomorrow,Roland Emmerich,2004-05-27T00:00:00Z
The Day After Tomorrow,Roland Emmerich,2004-05-28T00:00:00Z
Oxygen,Richard Shepard,1999-01-01T00:00:00Z
Oxygen,Richard Shepard,1999-05-13T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1971-09-28T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1971-09-30T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1972-03-24T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1972-08-22T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1973-04-06T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1974-05-02T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1978-09-09T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1979-08-30T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1980-01-09T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1980-03-28T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1983-05-06T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1984-07-13T00:00:00Z
And Now for Something Completely Different,Ian MacNaughton,1990-06-08T00:00:00Z
Bichhoo,Guddu Dhanoa,2000-01-01T00:00:00Z
The Sisterhood of the Traveling Pants 2,Sanaa Hamri,2008-01-01T00:00:00Z
Thursday,Skip Woods,1998-01-01T00:00:00Z
Buried,Rodrigo Cortés,2010-01-01T00:00:00Z
Buried,Rodrigo Cortés,2010-10-01T00:00:00Z
Buried,Rodrigo Cortés,2010-10-15T00:00:00Z
